Review_ID,Original_Item_Name,Source_Type,Source_File,Possible_SKU_ID,Possible_SKU_Name,Issue,Suggested_Action,User_Decision
"REV016","Paddy Super Damini(6 Kg*5 Pc)","Credit Note","CN_25-26_converted.xlsx","PAD023","Paddy Super Damini — 6 Kg × 5 Pc","Credit Note item; verify whether physical stock return or accounting adjustment","Verify whether this credit note line is a physical sales return or only an accounting/rate adjustment.",""
"REV017","SSG (RED KING)4 KG*10 PC","Credit Note","CN_25-26_converted.xlsx","SSG001","SSG RED KING — 4 Kg × 10 Pc","Credit Note item; verify whether physical stock return or accounting adjustment","Verify whether this credit note line is a physical sales return or only an accounting/rate adjustment.",""
"REV018","SSG (WHITE KING)4 KG*10 PC","Credit Note","CN_25-26_converted.xlsx","SSG004","SSG WHITE KING — 4 Kg × 10 Pc","Credit Note item; verify whether physical stock return or accounting adjustment","Verify whether this credit note line is a physical sales return or only an accounting/rate adjustment.",""
"REV019","Wheat Vardhnam-301(20 Kg)","Credit Note","CN_25-26_converted.xlsx","WHE006","Wheat Vardhnam 301 — 20 Kg","Credit Note item; verify whether physical stock return or accounting adjustment","Verify whether this credit note line is a physical sales return or only an accounting/rate adjustment.",""
"REV020","Bajra","Godown Stock","GdwnSum (1).xlsx","BAJ004","Bajra — Not Available","Pack size missing or not confirmed; Possible aggregate/category row or generic product name; Godown item may represent subtotal/category rather than stock item","Check Tally godown hierarchy and confirm whether this is a stock item or subtotal/category row.",""
"REV021","Beet Root Hybrid","Godown Stock","GdwnSum (1).xlsx","OTH001","Beet Root — Not Available","Pack size missing or not confirmed; Variety not available","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV022","Bio Seeds","Godown Stock","GdwnSum (1).xlsx","UNC001","Bio Seeds","Category classification unclear; Possible aggregate/category row or generic product name; Godown item may represent subtotal/category rather than stock item","Check Tally godown hierarchy and confirm whether this is a stock item or subtotal/category row.",""
"REV023","Bottlegourd Hybrid Nanda","Godown Stock","GdwnSum (1).xlsx","OTH004","Bottlegourd Nanda — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV024","HYBRID BAJRA SEED VARIETY - 90","Godown Stock","GdwnSum (1).xlsx","BAJ001","Bajra 90 — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV025","MAIZE (SULTAN 8199)","Godown Stock","GdwnSum (1).xlsx","MAI011","Maize SULTAN 8199 — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV026","Maize","Godown Stock","GdwnSum (1).xlsx","MAI016","Maize — Not Available","Pack size missing or not confirmed; Possible aggregate/category row or generic product name; Godown item may represent subtotal/category rather than stock item","Check Tally godown hierarchy and confirm whether this is a stock item or subtotal/category row.",""
"REV027","Maize Bulk","Godown Stock","GdwnSum (1).xlsx","MAI002","Maize Bulk","Variety not available","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV028","Masoor Bulk","Godown Stock","GdwnSum (1).xlsx","MAS001","Masoor Bulk","Variety not available","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV029","Matar Bulk","Godown Stock","GdwnSum (1).xlsx","MAT001","Matar Bulk","Variety not available","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV030","Mung Bulk","Godown Stock","GdwnSum (1).xlsx","MUN001","Mung Bulk","Variety not available","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV031","Mustard","Godown Stock","GdwnSum (1).xlsx","MUS006","Mustard — Not Available","Pack size missing or not confirmed; Possible aggregate/category row or generic product name; Godown item may represent subtotal/category rather than stock item","Check Tally godown hierarchy and confirm whether this is a stock item or subtotal/category row.",""
"REV032","Okra Hybrid Kasturi","Godown Stock","GdwnSum (1).xlsx","OTH006","Okra Kasturi — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV033","Packing Material","Godown Stock","GdwnSum (1).xlsx","PAC010","Packing Material","Possible aggregate/category row or generic product name; Godown item may represent subtotal/category rather than stock item","Check Tally godown hierarchy and confirm whether this is a stock item or subtotal/category row.",""
"REV034","Paddy","Godown Stock","GdwnSum (1).xlsx","PAD025","Paddy — Not Available","Pack size missing or not confirmed; Possible aggregate/category row or generic product name; Godown item may represent subtotal/category rather than stock item","Check Tally godown hierarchy and confirm whether this is a stock item or subtotal/category row.",""
"REV035","Paddy (1509)","Godown Stock","GdwnSum (1).xlsx","PAD002","Paddy 1509 — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV036","Paddy (Aman)","Godown Stock","GdwnSum (1).xlsx","PAD007","Paddy Aman — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV037","Paddy Basmati","Godown Stock","GdwnSum (1).xlsx","PAD008","Paddy Basmati — Not Available","Pack size missing or not confirmed; Possible aggregate/category row or generic product name; Godown item may represent subtotal/category rather than stock item","Check Tally godown hierarchy and confirm whether this is a stock item or subtotal/category row.",""
"REV038","Paddy Damini","Godown Stock","GdwnSum (1).xlsx","PAD009","Paddy Damini — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV039","Paddy Hybrid","Godown Stock","GdwnSum (1).xlsx","PAD025","Paddy — Not Available","Pack size missing or not confirmed; Possible aggregate/category row or generic product name; Godown item may represent subtotal/category rather than stock item","Check Tally godown hierarchy and confirm whether this is a stock item or subtotal/category row.",""
"REV040","Paddy MPV-7029","Godown Stock","GdwnSum (1).xlsx","PAD011","Paddy MPV 7029 — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV041","Paddy Research","Godown Stock","GdwnSum (1).xlsx","PAD018","Paddy Research — Not Available","Pack size missing or not confirmed; Possible aggregate/category row or generic product name; Godown item may represent subtotal/category rather than stock item","Check Tally godown hierarchy and confirm whether this is a stock item or subtotal/category row.",""
"REV042","Paddy Sampurna","Godown Stock","GdwnSum (1).xlsx","PAD019","Paddy Sampurna — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV043","Paddy Saurabh","Godown Stock","GdwnSum (1).xlsx","PAD020","Paddy Saurabh — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV044","Pulse","Godown Stock","GdwnSum (1).xlsx","UNC003","Pulse","Category classification unclear; Possible aggregate/category row or generic product name; Godown item may represent subtotal/category rather than stock item","Check Tally godown hierarchy and confirm whether this is a stock item or subtotal/category row.",""
"REV045","Pumpkin Hybrid Super Top","Godown Stock","GdwnSum (1).xlsx","OTH007","Pumpkin Super Top — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV046","Radish","Godown Stock","GdwnSum (1).xlsx","OTH008","Radish — Not Available","Pack size missing or not confirmed; Variety not available","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV047","SSG","Godown Stock","GdwnSum (1).xlsx","SSG005","SSG — Not Available","Pack size missing or not confirmed; Variety not available","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV048","Seeds","Godown Stock","GdwnSum (1).xlsx","UNC004","Seeds","Category classification unclear; Possible aggregate/category row or generic product name; Godown item may represent subtotal/category rather than stock item","Check Tally godown hierarchy and confirm whether this is a stock item or subtotal/category row.",""
"REV049","Urad Bulk","Godown Stock","GdwnSum (1).xlsx","OTH010","Urad Bulk","Variety not available","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV050","Vegetable Seeds","Godown Stock","GdwnSum (1).xlsx","UNC006","Vegetable Seeds","Category classification unclear; Possible aggregate/category row or generic product name; Godown item may represent subtotal/category rather than stock item","Check Tally godown hierarchy and confirm whether this is a stock item or subtotal/category row.",""
"REV051","Wheat","Godown Stock","GdwnSum (1).xlsx","WHE007","Wheat — Not Available","Pack size missing or not confirmed; Possible aggregate/category row or generic product name; Godown item may represent subtotal/category rather than stock item","Check Tally godown hierarchy and confirm whether this is a stock item or subtotal/category row.",""
"REV052","Breeder Seed Dbw 371","Purchase","Purcase UP.pdf","UNC002","Breeder Seed Dbw 371","Category classification unclear","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV053","Maize","Purchase","purchase.pdf","MAI016","Maize — Not Available","Pack size missing or not confirmed; Possible aggregate/category row or generic product name","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV054","Maize Bulk","Purchase","Purcase UP.pdf","MAI002","Maize Bulk","Variety not available","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV055","Masoor Bulk","Purchase","Purcase UP.pdf","MAS001","Masoor Bulk","Variety not available","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV056","Matar Bulk","Purchase","Purcase UP.pdf","MAT001","Matar Bulk","Variety not available","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV057","Mung Bulk","Purchase","Purcase UP.pdf","MUN001","Mung Bulk","Variety not available","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV058","Mustard Bulk","Purchase","Purcase UP.pdf","MUS001","Mustard Bulk","Variety not available","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV059","Mustard Hybrid","Purchase","Purcase UP.pdf","MUS006","Mustard — Not Available","Pack size missing or not confirmed; Variety not available","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV060","Mustard Research","Purchase","Purcase UP.pdf","MUS003","Mustard Research — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV061","Paddy (Aman)","Purchase","Purcase UP.pdf; purchase.pdf","PAD007","Paddy Aman — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV062","Paddy 1692 Foundation","Purchase","Purcase UP.pdf","PAD003","Paddy 1692 Foundation — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV063","Paddy Damini","Purchase","Purcase UP.pdf","PAD009","Paddy Damini — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV064","Paddy MPV-7029","Purchase","Purcase UP.pdf","PAD011","Paddy MPV 7029 — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV065","Paddy Pb 1692","Purchase","purchase.pdf","PAD017","Paddy PB 1692 — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV066","Paddy Sampurna","Purchase","Purcase UP.pdf; purchase.pdf","PAD019","Paddy Sampurna — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV067","Paddy Taj","Purchase","Purcase UP.pdf; purchase.pdf","PAD024","Paddy Taj — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV068","Urad Bulk","Purchase","Purcase UP.pdf","OTH010","Urad Bulk","Variety not available","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV069","VARDHNAM 301","Purchase","Purcase UP.pdf","UNC005","VARDHNAM 301","Category classification unclear","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV070","Wheat Breeder Dbw 187","Purchase","Purcase UP.pdf","WHE001","Wheat Breeder Dbw 187 — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV071","Wheat Breeder HD 2967","Purchase","Purcase UP.pdf","WHE002","Wheat Breeder HD 2967 — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV072","Wheat Breeder PBW-502","Purchase","Purcase UP.pdf","WHE003","Wheat Breeder PBW 502 — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV073","Wheat Bulk","Purchase","Purcase UP.pdf","WHE004","Wheat Bulk","Variety not available","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV074","MAIZE (SULTAN 8199)","Sales","DayBook.pdf","MAI011","Maize SULTAN 8199 — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV075","Maize Bulk","Sales","DayBook.pdf","MAI002","Maize Bulk","Variety not available","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV076","Masoor Bulk","Sales","DayBook.pdf","MAS001","Masoor Bulk","Variety not available","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV077","Matar Bulk","Sales","DayBook.pdf","MAT001","Matar Bulk","Variety not available","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV078","Mung Bulk","Sales","DayBook.pdf","MUN001","Mung Bulk","Variety not available","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV079","Mustard Bulk","Sales","DayBook.pdf","MUS001","Mustard Bulk","Variety not available","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV080","Mustard Hybrid","Sales","DayBook.pdf","MUS006","Mustard — Not Available","Pack size missing or not confirmed; Variety not available","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV081","Mustard Research","Sales","DayBook.pdf","MUS003","Mustard Research — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV082","Paddy Damini","Sales","DayBook.pdf","PAD009","Paddy Damini — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV083","Paddy MPV-7029","Sales","DayBook.pdf","PAD011","Paddy MPV 7029 — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV084","Urad Bulk","Sales","DayBook.pdf","OTH010","Urad Bulk","Variety not available","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV085","VARDHNAM 301","Sales","DayBook.pdf","UNC005","VARDHNAM 301","Category classification unclear","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV086","WHEAT DBW 187","Sales","DayBook.pdf","WHE005","Wheat DBW 187 — Not Available","Pack size missing or not confirmed","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
"REV087","Wheat Bulk","Sales","DayBook.pdf","WHE004","Wheat Bulk","Variety not available","Verify product identity, pack size, and whether this source row is a true stock item before final Power BI import.",""
